savivaldybe,rodiklis,metai,metai_menesis,menesis,nedarbas,vid_nedarbas
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.20,10.02
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,11.00,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,10.90,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,10.30,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,9.70,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,9.70,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,9.80,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,9.90,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,9.50,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.90,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,9.30,
Akmenės r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,10.00,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,10.20,9.32
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,10.20,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,10.10,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,9.10,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,8.90,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,9.30,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,9.50,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,9.40,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,9.20,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,8.50,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,8.50,
Alytaus m. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.90,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,9.80,8.58
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202402,2,9.80,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202403,3,9.50,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202404,4,8.40,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202405,5,8.00,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202406,6,8.40,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202407,7,8.40,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202408,8,8.60,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202409,9,8.30,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202410,10,7.80,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202411,11,7.80,
Alytaus r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202412,12,8.20,
Anykščių r. sav.,Registruotas nedarbas  - bedarbių proc. nuo DAG,2024,202401,1,11.00,10.47
